BioSample_s	Center_Name_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	population_s	Assay_Type_s	AssemblyName_s	BioProject_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	Strain_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA1573350	Centre for Genomic Regulation, Barcelona	ERX162805	NA19107.2.M_111216_5 extract	2012-11-07	3914	2877	2012-11-07	ERR188423	ERS185210	GEUV:NA19107	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573289	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162743	HG00099.5.M_120131_3 extract	2012-11-07	5677	3945	2012-11-07	ERR188428	ERS185128	GEUV:HG00099	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573307	University of Geneva	ERX162948	NA20519.1.M_111124_5 extract	2012-11-07	5238	3798	2012-11-07	ERR188145	ERS185167	GEUV:NA20519	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573180	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162775	NA20804.4.M_120208_1 extract	2012-11-07	3882	2791	2012-11-07	ERR188147	ERS185132	GEUV:NA20804	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573164	University of Geneva	ERX163034	HG00182.1.M_111124_4 extract	2012-11-07	3812	2772	2012-11-07	ERR188149	ERS185135	GEUV:HG00182	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573229	Max Planck Institute for Molecular Genetics	ERX162957	NA18910.3.M_120202_7 extract	2012-11-07	2565	1805	2012-11-07	ERR188442	ERS185199	GEUV:NA18910	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573416	Leiden University Medical Center	ERX163005	NA12829.7.M_120219_4 extract	2012-11-07	5891	4056	2012-11-07	ERR188228	ERS185214	GEUV:NA12829	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573217	University of Geneva	ERX162988	NA11918.1.M_111124_3 extract	2012-11-07	3479	2470	2012-11-07	ERR188161	ERS185205	GEUV:NA11918	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573177	Uppsala University	ERX162758	HG00112.6.M_120119_2 extract	2012-11-07	3696	2514	2012-11-07	ERR188465	ERS185175	GEUV:HG00112	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573194	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162731	HG00142.4.M_120208_6 extract	2012-11-07	3596	2532	2012-11-07	ERR188466	ERS185174	GEUV:HG00142	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573095	Max Planck Institute for Molecular Genetics	ERX162923	NA12889.3.M_120223_7 extract	2012-11-07	5846	3950	2012-11-07	ERR188429	ERS185149	GEUV:NA12889	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573196	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162996	NA20783.4.M_120208_6 extract	2012-11-07	4348	3079	2012-11-07	ERR188171	ERS185133	GEUV:NA20783	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573157	Centre for Genomic Regulation, Barcelona	ERX163140	NA19198.2.M_111215_6 extract	2012-11-07	4754	3293	2012-11-07	ERR188174	ERS185136	GEUV:NA19198	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573274	Centre for Genomic Regulation, Barcelona	ERX163003	NA07357.2.M_111216_5 extract	2012-11-07	3834	2822	2012-11-07	ERR188176	ERS185180	GEUV:NA07357	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573222	Leiden University Medical Center	ERX162950	NA20774.7.M_120219_1 extract	2012-11-07	3010	2156	2012-11-07	ERR188179	ERS185121	GEUV:NA20774	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573349	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX163118	HG00260.5.M_120131_7 extract	2012-11-07	4634	3209	2012-11-07	ERR188185	ERS185151	GEUV:HG00260	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573213	University of Geneva	ERX162854	HG02215.1.M_111124_4 extract	2012-11-07	4411	3159	2012-11-07	ERR188470	ERS185197	GEUV:HG02215	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573376	University of Geneva	ERX163119	HG00284.1.M_111124_6 extract	2012-11-07	4816	3398	2012-11-07	ERR188194	ERS185163	GEUV:HG00284	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573202	University of Geneva	ERX163111	HG00320.1.M_111124_1 extract	2012-11-07	4420	3224	2012-11-07	ERR188046	ERS185139	GEUV:HG00320	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573239	University of Geneva	ERX162893	NA18519.1.M_111124_3 extract	2012-11-07	3435	2551	2012-11-07	ERR188200	ERS185123	GEUV:NA18519	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573205	Leiden University Medical Center	ERX162861	NA12873.7.M_120219_1 extract	2012-11-07	5006	3579	2012-11-07	ERR188216	ERS185117	GEUV:NA12873	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573341	Centre for Genomic Regulation, Barcelona	ERX163063	HG00376.2.M_111216_1 extract	2012-11-07	4449	3269	2012-11-07	ERR188299	ERS185150	GEUV:HG00376	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573188	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX163132	NA20518.4.M_120208_3 extract	2012-11-07	4360	3100	2012-11-07	ERR188050	ERS185188	GEUV:NA20518	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573154	Uppsala University	ERX162742	NA19214.6.M_120119_2 extract	2012-11-07	4147	2822	2012-11-07	ERR188209	ERS185145	GEUV:NA19214	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573359	Max Planck Institute for Molecular Genetics	ERX163093	NA20816.3.M_120202_7 extract	2012-11-07	3804	2667	2012-11-07	ERR188210	ERS185164	GEUV:NA20816	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573293	Leiden University Medical Center	ERX162814	NA18486.7.M_120219_4 extract	2012-11-07	6734	4635	2012-11-07	ERR188214	ERS185193	GEUV:NA18486	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573237	Centre for Genomic Regulation, Barcelona	ERX162971	NA20528.2.M_120131_1 extract	2012-11-07	4642	3173	2012-11-07	ERR188224	ERS185137	GEUV:NA20528	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573250	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX163143	NA19152.4.M_120208_4 extract	2012-11-07	3971	2806	2012-11-07	ERR188225	ERS185203	GEUV:NA19152	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573277	Leiden University Medical Center	ERX162845	HG00097.7.M_120219_2 extract	2012-11-07	6285	4435	2012-11-07	ERR188231	ERS185206	GEUV:HG00097	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573167	University of Geneva	ERX162927	HG00306.1.M_111124_1 extract	2012-11-07	3443	2512	2012-11-07	ERR188240	ERS185146	GEUV:HG00306	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573138	Centre for Genomic Regulation, Barcelona	ERX162843	NA20534.2.M_111215_8 extract	2012-11-07	5038	3499	2012-11-07	ERR188114	ERS185144	GEUV:NA20534	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573234	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162841	HG00310.4.M_120208_3 extract	2012-11-07	4394	3143	2012-11-07	ERR188205	ERS185202	GEUV:HG00310	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573504	Centre for Genomic Regulation, Barcelona	ERX162897	NA12283.2.M_111216_5 extract	2012-11-07	3769	2788	2012-11-07	ERR188262	ERS185142	GEUV:NA12283	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573438	University of Geneva	ERX162951	HG00281.1.M_111124_3 extract	2012-11-07	4570	3246	2012-11-07	ERR188263	ERS185157	GEUV:HG00281	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573232	Uppsala University	ERX163045	HG00274.6.M_120119_1 extract	2012-11-07	4571	3192	2012-11-07	ERR188264	ERS185122	GEUV:HG00274	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573288	Centre for Genomic Regulation, Barcelona	ERX163109	NA20814.2.M_111215_6 extract	2012-11-07	4760	3272	2012-11-07	ERR188265	ERS185127	GEUV:NA20814	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573448	Uppsala University	ERX162903	HG00266.6.M_120119_3 extract	2012-11-07	4933	3122	2012-11-07	ERR188267	ERS185177	GEUV:HG00266	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573255	Leiden University Medical Center	ERX162998	HG00246.7.M_120219_4 extract	2012-11-07	4819	3320	2012-11-07	ERR188271	ERS185192	GEUV:HG00246	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573430	Max Planck Institute for Molecular Genetics	ERX162816	HG00277.3.M_120202_6 extract	2012-11-07	3149	2162	2012-11-07	ERR188274	ERS185158	GEUV:HG00277	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573272	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162930	NA12340.5.M_120131_7 extract	2012-11-07	4383	3045	2012-11-07	ERR188277	ERS185126	GEUV:NA12340	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573106	Uppsala University	ERX162967	NA20809.6.M_120119_2 extract	2012-11-07	3610	2480	2012-11-07	ERR188282	ERS185186	GEUV:NA20809	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573397	Uppsala University	ERX162800	HG00122.6.M_120119_1 extract	2012-11-07	4340	3022	2012-11-07	ERR188285	ERS185162	GEUV:HG00122	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573102	Centre for Genomic Regulation, Barcelona	ERX163126	NA12813.2.M_111216_6 extract	2012-11-07	3754	2686	2012-11-07	ERR188291	ERS185131	GEUV:NA12813	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573531	University of Geneva	ERX162732	NA20757.1.M_111124_1 extract	2012-11-07	4349	3042	2012-11-07	ERR188295	ERS185169	GEUV:NA20757	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573150	Leiden University Medical Center	ERX162799	NA12716.7.M_120219_6 extract	2012-11-07	11246	7156	2012-11-07	ERR188140	ERS185171	GEUV:NA12716	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573340	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX163137	HG00319.4.M_120208_7 extract	2012-11-07	3695	2521	2012-11-07	ERR188300	ERS185165	GEUV:HG00319	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573220	Centre for Genomic Regulation, Barcelona	ERX162749	HG00364.2.M_111215_8 extract	2012-11-07	5177	3579	2012-11-07	ERR188303	ERS185118	GEUV:HG00364	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573501	Max Planck Institute for Molecular Genetics	ERX162792	NA19138.3.M_120202_8 extract	2012-11-07	2892	2049	2012-11-07	ERR188306	ERS185152	GEUV:NA19138	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573240	Max Planck Institute for Molecular Genetics	ERX163172	HG00350.3.M_120202_3 extract	2012-11-07	2218	1540	2012-11-07	ERR188031	ERS185198	GEUV:HG00350	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573261	University of Geneva	ERX163066	HG00185.1.M_111124_5 extract	2012-11-07	4396	3177	2012-11-07	ERR188320	ERS185209	GEUV:HG00185	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573403	Leiden University Medical Center	ERX162872	NA07347.7.M_120219_3 extract	2012-11-07	4835	3397	2012-11-07	ERR188324	ERS185160	GEUV:NA07347	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573482	University of Geneva	ERX163013	NA06984.1.M_111124_4 extract	2012-11-07	3166	2270	2012-11-07	ERR188325	ERS185153	GEUV:NA06984	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573113	University of Geneva	ERX162831	NA06985.1.M_111124_7 extract	2012-11-07	4758	3279	2012-11-07	ERR188327	ERS185170	GEUV:NA06985	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573141	Centre for Genomic Regulation, Barcelona	ERX163170	NA20543.2.M_111215_5 extract	2012-11-07	3897	2799	2012-11-07	ERR188334	ERS185134	GEUV:NA20543	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573523	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162908	NA19236.4.M_120208_1 extract	2012-11-07	3066	2206	2012-11-07	ERR188037	ERS185141	GEUV:NA19236	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573132	Centre for Genomic Regulation, Barcelona	ERX162983	HG00384.2.M_111216_4 extract	2012-11-07	5952	4176	2012-11-07	ERR188043	ERS185184	GEUV:HG00384	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573276	Centre for Genomic Regulation, Barcelona	ERX162754	HG00321.2.M_111216_2 extract	2012-11-07	4576	3302	2012-11-07	ERR188045	ERS185194	GEUV:HG00321	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573181	University of Geneva	ERX162803	NA12489.1.M_111124_2 extract	2012-11-07	4838	3459	2012-11-07	ERR188048	ERS185147	GEUV:NA12489	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573256	University of Geneva	ERX163043	NA20541.1.M_111124_4 extract	2012-11-07	5068	3634	2012-11-07	ERR188052	ERS185125	GEUV:NA20541	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573329	University of Geneva	ERX163015	NA19171.1.M_111124_7 extract	2012-11-07	5160	3555	2012-11-07	ERR188055	ERS185129	GEUV:NA19171	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573542	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162920	NA12004.4.M_120208_5 extract	2012-11-07	3375	2380	2012-11-07	ERR188336	ERS185154	GEUV:NA12004	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573543	University of Geneva	ERX162759	HG00353.1.M_111124_6 extract	2012-11-07	4215	3032	2012-11-07	ERR188340	ERS185168	GEUV:HG00353	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573265	Centre for Genomic Regulation, Barcelona	ERX162713	HG00111.2.M_111215_4 extract	2012-11-07	5082	3401	2012-11-07	ERR188342	ERS185191	GEUV:HG00111	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573314	University of Geneva	ERX163022	NA20525.1.M_111124_1 extract	2012-11-07	4039	2946	2012-11-07	ERR188347	ERS185212	GEUV:NA20525	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573254	Max Planck Institute for Molecular Genetics	ERX163144	NA18517.3.M_120202_1 extract	2012-11-07	2178	1529	2012-11-07	ERR188060	ERS185124	GEUV:NA18517	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573324	University of Geneva	ERX162945	NA19144.1.M_120209_1 extract	2012-11-07	2661	1813	2012-11-07	ERR188064	ERS185166	GEUV:NA19144	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573396	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162866	NA20759.4.M_120208_3 extract	2012-11-07	3314	2369	2012-11-07	ERR188068	ERS185190	GEUV:NA20759	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573519	Uppsala University	ERX162828	HG00114.6.M_120217_1 extract	2012-11-07	2868	1981	2012-11-07	ERR188071	ERS185155	GEUV:HG00114	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573223	University of Geneva	ERX163004	HG00280.1.M_111124_6 extract	2012-11-07	4279	3082	2012-11-07	ERR188457	ERS185196	GEUV:HG00280	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573154	University of Geneva	ERX179507	NA19214.1.M_120209_7 extract	2013-02-21	3077	2065	2013-02-21	ERR204923	ERS185145	GEUV:NA19214	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
